log_id,sensor_id,shipment_id,recorded_at,temperature_c,battery_level,signal_strength,network_status,batch_id,product_type,min_temperature_c,max_temperature_c,calibration_date,expiry_date,calibration_error,status,calibration_valid,missing_flag,offline_flag,previous_temperature,temperature_jump,noise_flag,temperature_original,processing_method,evidence_status,calibration_issue,noise_issue,missing_issue,offline_issue,evidence_reason
1026,S001,SHP0028,2026-08-06 10:54:00,5.174529467869613,72.99,70,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,,,False,5.174529467869613,Original,Reliable,False,False,False,False,No issue
1027,S001,SHP0028,2026-08-06 10:59:00,5.01520139126728,94.91,71,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,5.174529467869613,0.15932807660233284,False,5.01520139126728,Original,Reliable,False,False,False,False,No issue
1028,S001,SHP0028,2026-08-06 11:04:00,5.048012530687305,90.34,85,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,5.01520139126728,0.03281113942002456,False,5.048012530687305,Original,Reliable,False,False,False,False,No issue
1029,S001,SHP0028,2026-08-06 11:09:00,5.245407189092167,81.48,75,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,5.048012530687305,0.19739465840486226,False,5.245407189092167,Original,Reliable,False,False,False,False,No issue
1030,S001,SHP0028,2026-08-06 11:14:00,4.590882973920638,79.81,91,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,5.245407189092167,0.6545242151715289,False,4.590882973920638,Original,Reliable,False,False,False,False,No issue
1031,S001,SHP0028,2026-08-06 11:19:00,4.897049385030662,88.66,79,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,4.590882973920638,0.3061664111100235,False,4.897049385030662,Original,Reliable,False,False,False,False,No issue
1032,S001,SHP0028,2026-08-06 11:24:00,4.332566370448964,92.81,73,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,4.897049385030662,0.5644830145816977,False,4.332566370448964,Original,Reliable,False,False,False,False,No issue
1033,S001,SHP0028,2026-08-06 11:29:00,5.159689249042112,92.55,91,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,4.332566370448964,0.8271228785931477,False,5.159689249042112,Original,Reliable,False,False,False,False,No issue
1034,S001,SHP0028,2026-08-06 11:34:00,5.258878375881096,84.77,94,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,5.159689249042112,0.09918912683898462,False,5.258878375881096,Original,Reliable,False,False,False,False,No issue
1035,S001,SHP0028,2026-08-06 11:39:00,4.80672541508025,76.06,84,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,5.258878375881096,0.4521529608008459,False,4.80672541508025,Original,Reliable,False,False,False,False,No issue
1036,S001,SHP0028,2026-08-06 11:44:00,5.629594705316013,84.94,91,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,4.80672541508025,0.8228692902357624,False,5.629594705316013,Original,Reliable,False,False,False,False,No issue
1037,S001,SHP0028,2026-08-06 11:49:00,4.509693734799064,77.85,86,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,5.629594705316013,1.119900970516949,False,4.509693734799064,Original,Reliable,False,False,False,False,No issue
1038,S001,SHP0028,2026-08-06 11:54:00,4.414250047916072,94.28,80,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,4.509693734799064,0.09544368688299176,False,4.414250047916072,Original,Reliable,False,False,False,False,No issue
1039,S001,SHP0028,2026-08-06 11:59:00,5.089780727423989,86.4,87,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,4.414250047916072,0.6755306795079168,False,5.089780727423989,Original,Reliable,False,False,False,False,No issue
1040,S001,SHP0028,2026-08-06 12:04:00,5.418839321044862,92.92,100,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,5.089780727423989,0.3290585936208732,False,5.418839321044862,Original,Reliable,False,False,False,False,No issue
1041,S001,SHP0028,2026-08-06 12:09:00,5.673571076583148,96.4,83,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,5.418839321044862,0.25473175553828575,False,5.673571076583148,Original,Reliable,False,False,False,False,No issue
1042,S001,SHP0028,2026-08-06 12:14:00,4.816446294852424,81.51,73,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,5.673571076583148,0.8571247817307235,False,4.816446294852424,Original,Reliable,False,False,False,False,No issue
1043,S001,SHP0028,2026-08-06 12:19:00,5.431472333372518,95.59,80,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,4.816446294852424,0.6150260385200941,False,5.431472333372518,Original,Reliable,False,False,False,False,No issue
1044,S001,SHP0028,2026-08-06 12:24:00,4.984596612199717,83.79,84,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,5.431472333372518,0.44687572117280094,False,4.984596612199717,Original,Reliable,False,False,False,False,No issue
1045,S001,SHP0028,2026-08-06 12:29:00,4.930949080023672,75.31,71,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,4.984596612199717,0.05364753217604523,False,4.930949080023672,Original,Reliable,False,False,False,False,No issue
1046,S001,SHP0028,2026-08-06 12:34:00,5.353463974994669,95.81,91,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,4.930949080023672,0.4225148949709965,False,5.353463974994669,Original,Reliable,False,False,False,False,No issue
1047,S001,SHP0028,2026-08-06 12:39:00,5.260929151365368,96.54,79,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,5.353463974994669,0.09253482362930043,False,5.260929151365368,Original,Reliable,False,False,False,False,No issue
1048,S001,SHP0028,2026-08-06 12:44:00,4.3694431372063,84.74,75,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,5.260929151365368,0.8914860141590681,False,4.3694431372063,Original,Reliable,False,False,False,False,No issue
1049,S001,SHP0028,2026-08-06 12:49:00,5.590616139890359,79.37,74,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,4.3694431372063,1.2211730026840586,False,5.590616139890359,Original,Reliable,False,False,False,False,No issue
1050,S001,SHP0028,2026-08-06 12:54:00,5.552036541658981,84.62,82,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,5.590616139890359,0.03857959823137769,False,5.552036541658981,Original,Reliable,False,False,False,False,No issue
1051,S001,SHP0028,2026-08-06 12:59:00,4.749774919396188,87.07,73,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,5.552036541658981,0.802261622262793,False,4.749774919396188,Original,Reliable,False,False,False,False,No issue
1052,S001,SHP0028,2026-08-06 13:04:00,5.158321413374964,89.8,85,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,4.749774919396188,0.4085464939787764,False,5.158321413374964,Original,Reliable,False,False,False,False,No issue
1053,S001,SHP0028,2026-08-06 13:09:00,5.197612074513096,86.18,91,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,5.158321413374964,0.03929066113813118,False,5.197612074513096,Original,Reliable,False,False,False,False,No issue
1054,S001,SHP0028,2026-08-06 13:14:00,5.104269506329563,84.28,85,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,5.197612074513096,0.09334256818353293,False,5.104269506329563,Original,Reliable,False,False,False,False,No issue
1055,S001,SHP0028,2026-08-06 13:19:00,4.779877938461832,74.69,97,Online,B0028,Chilled,2.0,8.0,2026-02-10,2027-02-10,0.357,Valid,True,False,False,5.104269506329563,0.32439156786773093,False,4.779877938461832,Original,Reliable,False,False,False,False,No issue
